"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population"
2015,"AK",0,0.54,"0%","100%","100%","50%","0%","50%","0%","0%","50%","0%",738430
2016,"AK",0,0.94,"14.29%","71.43%","100%","14.29%","0%","42.86%","0%","0%","57.14%","14.29%",742575
2017,"AK",0,0.94,"28.57%","85.71%","85.71%","71.43%","14.29%","71.43%","0%","0%","14.29%","0%",740983
2018,"AK",0,0.68,"0%","60%","80%","60%","20%","40%","0%","0%","40%","0%",736624
2019,"AK",0,0.82,"0%","50%","100%","50%","16.67%","66.67%","0%","0%","16.67%","0%",733603
2020,"AK",0,0.95,"0%","85.71%","85.71%","42.86%","0%","85.71%","14.29%","0%","0%","0%",733017
2021,"AK",0,0.27,"0%","100%","100%","0%","0%","100%","0%","0%","0%","0%",734420
2015,"AL",0,0.33,"18.75%","87.5%","87.5%","37.5%","37.5%","62.5%","0%","0%","0%","6.25%",4854800
2016,"AL",0,0.39,"36.84%","68.42%","100%","36.84%","21.05%","78.95%","0%","0%","0%","15.79%",4866820
2017,"AL",0,0.31,"0%","66.67%","86.67%","26.67%","33.33%","60%","0%","6.67%","0%","0%",4877990
2018,"AL",0,0.2,"10%","80%","100%","20%","30%","70%","0%","0%","0%","10%",4891630
2019,"AL",0,0.2,"10%","80%","100%","30%","60%","40%","0%","0%","0%","10%",4907970
2020,"AL",0,0.28,"14.29%","85.71%","100%","35.71%","21.43%","71.43%","0%","7.14%","0%","14.29%",5033090
2021,"AL",0,0.24,"25%","83.33%","100%","66.67%","33.33%","58.33%","0%","8.33%","0%","8.33%",5049200
2022,"AL",0,0.08,"0%","50%","100%","75%","0%","100%","0%","0%","0%","0%",5076180
2015,"AR",0,0.17,"0%","80%","80%","0%","20%","80%","0%","0%","0%","0%",2979730
2016,"AR",0,0.37,"0%","45.45%","100%","18.18%","9.09%","90.91%","0%","0%","0%","0%",2991820
2017,"AR",0,0.27,"12.5%","87.5%","100%","37.5%","37.5%","50%","12.5%","0%","0%","0%",3003860
2018,"AR",0,0.63,"5.26%","84.21%","100%","15.79%","31.58%","68.42%","0%","0%","0%","0%",3012160
2019,"AR",0,0.5,"13.33%","60%","93.33%","46.67%","40%","60%","0%","0%","0%","6.67%",3020990
2020,"AR",0,0.3,"0%","55.56%","88.89%","33.33%","44.44%","55.56%","0%","0%","0%","0%",3014550
2021,"AR",0,0.23,"0%","71.43%","100%","57.14%","0%","100%","0%","0%","0%","0%",3026870
