Year,State,State_Mandate,Shootings,Body_Cam_Rate,Threat_Rate,Weapon_Rate,Flee_Rate,Gender_Rate,Population,Race_Diversity,AdoptionYear,Mandate,Post
2015,AK,0,0.54,0,1.00E-06,1.00E-06,5.00E-07,0,738430,1,NA,0,0
2016,AK,0,0.94,1.43E-07,7.14E-07,1.00E-06,1.43E-07,1.43E-07,742575,1,NA,0,1
2017,AK,0,0.94,2.86E-07,8.57E-07,8.57E-07,7.14E-07,0,740983,1,NA,0,1
2018,AK,0,0.68,0,6.00E-07,8.00E-07,6.00E-07,0,736624,1,NA,0,1
2019,AK,0,0.82,0,5.00E-07,1.00E-06,5.00E-07,0,733603,1,NA,0,1
2020,AK,0,0.95,0,8.57E-07,8.57E-07,4.29E-07,0,733017,1,NA,0,1
2021,AK,0,0.27,0,1.00E-06,1.00E-06,0,0,734420,1,NA,0,1
2015,AL,0,0.33,1.88E-07,8.75E-07,8.75E-07,3.75E-07,6.25E-08,4854800,1,NA,0,0
2016,AL,0,0.39,3.68E-07,6.84E-07,1.00E-06,3.68E-07,1.58E-07,4866820,1,NA,0,1
2017,AL,0,0.31,0,6.67E-07,8.67E-07,2.67E-07,0,4877990,1,NA,0,1
2018,AL,0,0.2,1.00E-07,8.00E-07,1.00E-06,2.00E-07,1.00E-07,4891630,1,NA,0,1
2019,AL,0,0.2,1.00E-07,8.00E-07,1.00E-06,3.00E-07,1.00E-07,4907970,1,NA,0,1
2020,AL,0,0.28,1.43E-07,8.57E-07,1.00E-06,3.57E-07,1.43E-07,5033090,1,NA,0,1
2021,AL,0,0.24,2.50E-07,8.33E-07,1.00E-06,6.67E-07,8.33E-08,5049200,1,NA,0,1
2022,AL,0,0.08,0,5.00E-07,1.00E-06,7.50E-07,0,5076180,1,NA,0,1
2015,AR,0,0.17,0,8.00E-07,8.00E-07,0,0,2979730,1,NA,0,0
2016,AR,0,0.37,0,4.55E-07,1.00E-06,1.82E-07,0,2991820,1,NA,0,1
2017,AR,0,0.27,1.25E-07,8.75E-07,1.00E-06,3.75E-07,0,3003860,1,NA,0,1
2018,AR,0,0.63,5.26E-08,8.42E-07,1.00E-06,1.58E-07,0,3012160,1,NA,0,1
2019,AR,0,0.5,1.33E-07,6.00E-07,9.33E-07,4.67E-07,6.67E-08,3020990,1,NA,0,1
2020,AR,0,0.3,0,5.56E-07,8.89E-07,3.33E-07,0,3014550,1,NA,0,1
2021,AR,0,0.23,0,7.14E-07,1.00E-06,5.71E-07,0,3026870,1,NA,0,1
2022,AR,0,0.03,0,1.00E-06,1.00E-06,1.00E-06,0,3047700,1,NA,0,1
2015,AZ,0,0.57,5.13E-08,7.44E-07,9.23E-07,2.05E-07,7.69E-08,6832810,1,NA,0,0
2016,AZ,0,0.52,2.78E-07,6.39E-07,8.89E-07,2.78E-07,1.39E-07,6944770,1,NA,0,1
2017,AZ,0,0.45,9.38E-08,7.19E-07,9.38E-07,2.81E-07,9.38E-08,7048090,1,NA,0,1
2018,AZ,0,0.66,6.38E-08,5.53E-07,9.15E-07,2.98E-07,8.51E-08,7164230,1,NA,0,1
2019,AZ,0,0.37,1.48E-07,7.41E-07,9.26E-07,3.70E-07,3.70E-08,7291840,1,NA,0,1
2020,AZ,0,0.45,3.75E-07,7.50E-07,8.75E-07,3.13E-07,6.25E-08,7187140,1,NA,0,1
2021,AZ,0,0.23,2.35E-07,5.29E-07,9.41E-07,5.29E-07,5.88E-08,7274080,1,NA,0,1
2022,AZ,0,0.09,0,5.71E-07,1.00E-06,2.86E-07,0,7377570,1,NA,0,1
2015,CA,0,0.42,1.24E-07,6.85E-07,8.70E-07,2.10E-07,6.17E-08,38904300,1,NA,0,0
2016,CA,0,0.27,1.96E-07,4.21E-07,8.79E-07,3.83E-07,4.67E-08,39149190,1,NA,0,1
2017,CA,0,0.32,9.52E-08,5.95E-07,9.21E-07,3.10E-07,3.17E-08,39337790,1,NA,0,1
2018,CA,0,0.24,2.11E-07,5.47E-07,9.58E-07,3.90E-07,7.37E-08,39437460,1,NA,0,1
2019,CA,0,0.25,2.45E-07,6.53E-07,9.08E-07,2.86E-07,5.10E-08,39437610,1,NA,0,1
2020,CA,0,0.28,2.61E-07,6.40E-07,9.55E-07,4.51E-07,6.31E-08,39521960,1,NA,0,1
2021,CA,0,0.11,3.72E-07,6.74E-07,9.07E-07,4.19E-07,4.65E-08,39142570,1,NA,0,1
2022,CA,0,0.05,3.33E-07,5.56E-07,1.00E-06,5.56E-07,1.11E-07,39142410,1,NA,0,1
2015,CO,0,0.5,3.70E-08,8.15E-07,9.63E-07,4.07E-07,3.70E-08,5454330,1,NA,0,0
2016,CO,0,0.43,1.25E-07,6.67E-07,9.58E-07,4.17E-07,0,5543840,1,NA,0,1
2017,CO,0,0.37,9.52E-08,6.19E-07,8.57E-07,5.24E-07,0,5617420,1,NA,0,1
2018,CO,0,0.63,1.39E-07,5.28E-07,9.44E-07,4.44E-07,2.78E-08,5697160,1,NA,0,1
2019,CO,0,0.54,9.68E-08,6.45E-07,9.68E-07,4.84E-07,6.45E-08,5758490,1,NA,0,1
2020,CO,0,0.55,1.25E-07,5.94E-07,9.69E-07,5.63E-07,3.12E-08,5787130,1,NA,0,1
2021,CO,0,0.24,7.14E-08,6.43E-07,1.00E-06,5.71E-07,0,5814040,1,NA,0,1
2022,CO,0,0.07,0,7.50E-07,1.00E-06,7.50E-07,0,5850940,1,NA,0,1
2015,CT,1,0.06,0,1.00E-06,1.00E-06,5.00E-07,0,3588560,1,2016,1,0
2016,CT,1,0.08,0,3.33E-07,1.00E-06,0,0,3579830,1,2016,1,1
2017,CT,1,0.03,0,1.00E-06,1.00E-06,1.00E-06,0,3575320,1,2016,1,1
2018,CT,1,0.03,0,0,1.00E-06,0,0,3574560,1,2016,1,1
2019,CT,1,0.11,2.50E-07,1.00E-06,7.50E-07,7.50E-07,0,3566020,1,2016,1,1
2020,CT,1,0.14,6.00E-07,6.00E-07,8.00E-07,2.00E-07,0,3579920,1,2016,1,1
2021,CT,1,0.03,1.00E-06,1.00E-06,1.00E-06,0,0,3606610,1,2016,1,1
2015,DC,1,0.59,0,5.00E-07,7.50E-07,2.50E-07,2.50E-07,677014,1,2016,1,0
2016,DC,1,0.73,4.00E-07,8.00E-07,1.00E-06,4.00E-07,0,687576,1,2016,1,1
2017,DC,1,0.29,5.00E-07,1.00E-06,1.00E-06,5.00E-07,5.00E-07,697079,1,2016,1,1
2018,DC,1,0.14,0,1.00E-06,1.00E-06,0,0,704147,1,2016,1,1
2019,DC,1,0.14,0,1.00E-06,1.00E-06,0,0,708253,1,2016,1,1
2020,DC,1,0.15,1.00E-06,0,1.00E-06,1.00E-06,0,670917,1,2016,1,1
2021,DC,1,0.45,3.33E-07,1.00E-06,6.67E-07,3.33E-07,3.33E-07,669256,1,2016,1,1
2015,DE,0,0.11,1.00E-06,1.00E-06,1.00E-06,0,0,942065,1,NA,0,0
2016,DE,0,0.11,0,0,1.00E-06,1.00E-06,0,949989,1,NA,0,1
2017,DE,0,0.42,2.50E-07,7.50E-07,1.00E-06,2.50E-07,0,957942,1,NA,0,1
2020,DE,0,0.2,0,5.00E-07,1.00E-06,0,0,991928,1,NA,0,1
2021,DE,0,0.2,5.00E-07,0,1.00E-06,5.00E-07,5.00E-07,1005060,1,NA,0,1
2015,FL,0,0.26,3.77E-08,7.93E-07,8.68E-07,2.45E-07,1.89E-08,20219110,1,NA,0,0
2016,FL,0,0.25,1.96E-08,4.90E-07,9.41E-07,1.77E-07,5.88E-08,20627240,1,NA,0,1
2017,FL,0,0.22,2.17E-08,6.30E-07,8.91E-07,3.04E-07,1.09E-07,20977090,1,NA,0,1
2018,FL,0,0.26,9.09E-08,6.55E-07,8.55E-07,2.73E-07,3.64E-08,21254930,1,NA,0,1
2019,FL,0,0.24,7.84E-08,7.26E-07,1.00E-06,3.14E-07,5.88E-08,21492060,1,NA,0,1
2020,FL,0,0.33,1.81E-07,6.81E-07,9.31E-07,3.89E-07,9.72E-08,21592040,1,NA,0,1
2021,FL,0,0.13,2.07E-07,6.90E-07,9.66E-07,2.76E-07,6.90E-08,21831950,1,NA,0,1
2022,FL,0,0.05,3.64E-07,5.46E-07,9.09E-07,4.55E-07,0,22379310,1,NA,0,1
2015,GA,0,0.24,8.33E-08,8.33E-07,8.75E-07,1.67E-07,8.33E-08,10183350,1,NA,0,0
2016,GA,0,0.23,8.33E-08,8.33E-07,9.17E-07,2.08E-07,4.17E-08,10308440,1,NA,0,1
2017,GA,0,0.22,8.70E-08,6.52E-07,8.26E-07,3.04E-07,4.35E-08,10417030,1,NA,0,1
2018,GA,0,0.32,5.88E-08,8.53E-07,9.71E-07,2.65E-07,1.47E-07,10519390,1,NA,0,1
2019,GA,0,0.26,1.79E-07,8.57E-07,9.29E-07,4.29E-07,7.14E-08,10628020,1,NA,0,1
2020,GA,0,0.3,6.25E-08,7.81E-07,1.00E-06,5.00E-07,3.12E-08,10732890,1,NA,0,1
2021,GA,0,0.21,1.30E-07,6.96E-07,9.57E-07,5.22E-07,4.35E-08,10792060,1,NA,0,1
2022,GA,0,0.05,0,2.00E-07,1.00E-06,2.00E-07,0,10931810,1,NA,0,1
2015,HI,0,0.07,0,1.00E-06,1.00E-06,0,0,1423000,1,NA,0,0
2016,HI,0,0.07,0,1.00E-06,1.00E-06,0,0,1428890,1,NA,0,1
2017,HI,0,0.07,0,0,1.00E-06,0,0,1425760,1,NA,0,1
2018,HI,0,0.49,1.43E-07,8.57E-07,1.00E-06,0,1.43E-07,1423100,1,NA,0,1
2019,HI,0,0.21,0,6.67E-07,3.33E-07,6.67E-07,0,1415620,1,NA,0,1
2020,HI,0,0.14,0,0,1.00E-06,5.00E-07,0,1451250,1,NA,0,1
2021,HI,0,0.07,1.00E-06,0,1.00E-06,1.00E-06,0,1447030,1,NA,0,1
2015,IA,0,0.16,2.00E-07,6.00E-07,6.00E-07,6.00E-07,2.00E-07,3122540,1,NA,0,0
2016,IA,0,0.13,2.50E-07,1.00E-06,1.00E-06,2.50E-07,0,3133210,1,NA,0,1
2017,IA,0,0.16,4.00E-07,6.00E-07,1.00E-06,6.00E-07,2.00E-07,3143730,1,NA,0,1
2018,IA,0,0.22,1.43E-07,5.71E-07,1.00E-06,4.29E-07,0,3149900,1,NA,0,1
2019,IA,0,0.13,0,7.50E-07,1.00E-06,7.50E-07,0,3159600,1,NA,0,1
2020,IA,0,0.16,4.00E-07,4.00E-07,1.00E-06,2.00E-07,2.00E-07,3191140,1,NA,0,1
2021,IA,0,0.06,0,5.00E-07,1.00E-06,0,0,3198610,1,NA,0,1
2015,ID,0,0.36,3.33E-07,1.00E-06,1.00E-06,1.67E-07,0,1652500,1,NA,0,0
2016,ID,0,0.3,2.00E-07,8.00E-07,1.00E-06,6.00E-07,0,1684040,1,NA,0,1
2017,ID,0,0.29,2.00E-07,6.00E-07,8.00E-07,4.00E-07,0,1719750,1,NA,0,1
2018,ID,0,0.63,0,7.27E-07,9.09E-07,3.64E-07,9.09E-08,1752070,1,NA,0,1
2019,ID,0,0.34,1.67E-07,6.67E-07,1.00E-06,1.67E-07,1.67E-07,1789060,1,NA,0,1
2020,ID,0,0.27,4.00E-07,8.00E-07,1.00E-06,4.00E-07,0,1849420,1,NA,0,1
2021,ID,0,0.26,2.00E-07,8.00E-07,1.00E-06,4.00E-07,2.00E-07,1904850,1,NA,0,1
2015,IL,1,0.13,5.88E-08,8.24E-07,1.00E-06,4.12E-07,0,12859590,1,2015,1,1
2016,IL,1,0.19,8.33E-08,7.08E-07,9.58E-07,5.42E-07,0,12821710,1,2015,1,1
2017,IL,1,0.12,1.33E-07,6.00E-07,8.67E-07,4.67E-07,6.67E-08,12779890,1,2015,1,1
2018,IL,1,0.13,2.35E-07,5.29E-07,9.41E-07,5.88E-07,1.18E-07,12724690,1,2015,1,1
2019,IL,1,0.08,1.00E-07,8.00E-07,1.00E-06,4.00E-07,0,12667020,1,2015,1,1
2020,IL,1,0.09,2.73E-07,6.36E-07,9.09E-07,6.36E-07,0,12799090,1,2015,1,1
2021,IL,1,0.11,1.43E-07,6.43E-07,1.00E-06,5.00E-07,7.14E-08,12700640,1,2015,1,1
2022,IL,1,0.02,3.33E-07,3.33E-07,1.00E-06,0,0,12621820,1,2015,1,1
2015,IN,0,0.26,5.88E-08,8.82E-07,8.24E-07,2.35E-07,5.88E-08,6611440,1,NA,0,0
2016,IN,0,0.18,3.33E-07,5.00E-07,9.17E-07,3.33E-07,0,6637900,1,NA,0,1
2017,IN,0,0.26,5.88E-08,7.65E-07,9.41E-07,6.47E-07,0,6662070,1,NA,0,1
2018,IN,0,0.27,1.11E-07,6.67E-07,1.00E-06,1.67E-07,5.56E-08,6698480,1,NA,0,1
2019,IN,0,0.22,2.00E-07,8.00E-07,1.00E-06,6.67E-08,0,6731010,1,NA,0,1
2020,IN,0,0.31,1.43E-07,7.62E-07,1.00E-06,4.76E-07,0,6790500,1,NA,0,1
2021,IN,0,0.16,1.82E-07,9.09E-07,1.00E-06,3.64E-07,9.09E-08,6815910,1,NA,0,1
2022,IN,0,0.04,1.00E-06,1.00E-06,1.00E-06,3.33E-07,3.33E-07,6844550,1,NA,0,1
2015,KS,0,0.27,0,8.75E-07,8.75E-07,3.75E-07,1.25E-07,2910720,1,NA,0,0
2016,KS,0,0.27,2.50E-07,8.75E-07,7.50E-07,2.50E-07,0,2912980,1,NA,0,1
