"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2015,"AK",0,0.54,0,1e-06,1e-06,5e-07,0,5e-07,0,0,5e-07,0,738430,0.9999999999995,NA,0,0
2016,"AK",0,0.94,1.429e-07,7.143e-07,1e-06,1.429e-07,0,4.286e-07,0,0,5.714e-07,1.429e-07,742575,0.99999999999949,NA,0,1
2017,"AK",0,0.94,2.857e-07,8.571e-07,8.571e-07,7.143e-07,1.429e-07,7.143e-07,0,0,1.429e-07,0,740983,0.999999999999449,NA,0,1
2018,"AK",0,0.68,0,6e-07,8e-07,6e-07,2e-07,4e-07,0,0,4e-07,0,736624,0.99999999999964,NA,0,1
2019,"AK",0,0.82,0,5e-07,1e-06,5e-07,1.667e-07,6.667e-07,0,0,1.667e-07,0,733603,0.9999999999995,NA,0,1
2020,"AK",0,0.95,0,8.571e-07,8.571e-07,4.286e-07,0,8.571e-07,1.429e-07,0,0,0,733017,0.999999999999245,NA,0,1
2021,"AK",0,0.27,0,1e-06,1e-06,0,0,1e-06,0,0,0,0,734420,0.999999999999,NA,0,1
2015,"AL",0,0.33,1.875e-07,8.75e-07,8.75e-07,3.75e-07,3.75e-07,6.25e-07,0,0,0,6.25e-08,4854800,0.999999999999469,NA,0,0
2016,"AL",0,0.39,3.684e-07,6.842e-07,1e-06,3.684e-07,2.105e-07,7.895e-07,0,0,0,1.579e-07,4866820,0.999999999999332,NA,0,1
2017,"AL",0,0.31,0,6.667e-07,8.667e-07,2.667e-07,3.333e-07,6e-07,0,6.67e-08,0,0,4877990,0.999999999999524,NA,0,1
2018,"AL",0,0.2,1e-07,8e-07,1e-06,2e-07,3e-07,7e-07,0,0,0,1e-07,4891630,0.99999999999942,NA,0,1
2019,"AL",0,0.2,1e-07,8e-07,1e-06,3e-07,6e-07,4e-07,0,0,0,1e-07,4907970,0.99999999999948,NA,0,1
2020,"AL",0,0.28,1.429e-07,8.571e-07,1e-06,3.571e-07,2.143e-07,7.143e-07,0,7.14e-08,0,1.429e-07,5033090,0.999999999999439,NA,0,1
2021,"AL",0,0.24,2.5e-07,8.333e-07,1e-06,6.667e-07,3.333e-07,5.833e-07,0,8.33e-08,0,8.33e-08,5049200,0.999999999999542,NA,0,1
2022,"AL",0,0.08,0,5e-07,1e-06,7.5e-07,0,1e-06,0,0,0,0,5076180,0.999999999999,NA,0,1
2015,"AR",0,0.17,0,8e-07,8e-07,0,2e-07,8e-07,0,0,0,0,2979730,0.99999999999932,NA,0,0
2016,"AR",0,0.37,0,4.545e-07,1e-06,1.818e-07,9.09e-08,9.091e-07,0,0,0,0,2991820,0.999999999999165,NA,0,1
