"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2015,"AK",0,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738430,NA,NA,0,0
2016,"AK",0,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742575,NA,NA,0,1
2017,"AK",0,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740983,NA,NA,0,1
2018,"AK",0,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,736624,NA,NA,0,1
2019,"AK",0,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733603,NA,NA,0,1
2020,"AK",0,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,733017,NA,NA,0,1
2021,"AK",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,734420,NA,NA,0,1
2015,"AL",0,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4854800,NA,NA,0,0
2016,"AL",0,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4866820,NA,NA,0,1
2017,"AL",0,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4877990,NA,NA,0,1
2018,"AL",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4891630,NA,NA,0,1
2019,"AL",0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4907970,NA,NA,0,1
2020,"AL",0,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5033090,NA,NA,0,1
2021,"AL",0,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5049200,NA,NA,0,1
2022,"AL",0,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5076180,NA,NA,0,1
2015,"AR",0,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2979730,NA,NA,0,0
2016,"AR",0,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2991820,NA,NA,0,1
2017,"AR",0,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3003860,NA,NA,0,1
2018,"AR",0,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3012160,NA,NA,0,1
2019,"AR",0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3020990,NA,NA,0,1
2020,"AR",0,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3014550,NA,NA,0,1
2021,"AR",0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3026870,NA,NA,0,1
2022,"AR",0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3047700,NA,NA,0,1
2015,"AZ",0,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6832810,NA,NA,0,0
2016,"AZ",0,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6944770,NA,NA,0,1
2017,"AZ",0,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7048090,NA,NA,0,1
2018,"AZ",0,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7164230,NA,NA,0,1
2019,"AZ",0,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7291840,NA,NA,0,1
