"Year","State","State_Mandate","Shootings","Body_Cam_Rate","Threat_Rate","Weapon_Rate","Flee_Rate","Race_B_Rate","Race_W_Rate","Race_A_Rate","Race_H_Rate","Race_N_Rate","Gender_Rate","Population","Race_Diversity","AdoptionYear","Mandate","Post"
2015,"AK",0,0.54,0,1,1,0.5,0,0.5,0,0,0.5,0,738430,0.5,NA,0,0
2016,"AK",0,0.94,0.1429,0.7143,1,0.1429,0,0.4286,0,0,0.5714,0.1429,742575,0.48980408,NA,0,1
2017,"AK",0,0.94,0.2857,0.8571,0.8571,0.7143,0.1429,0.7143,0,0,0.1429,0,740983,0.44893469,NA,0,1
2018,"AK",0,0.68,0,0.6,0.8,0.6,0.2,0.4,0,0,0.4,0,736624,0.64,NA,0,1
2019,"AK",0,0.82,0,0.5,1,0.5,0.1667,0.6667,0,0,0.1667,0,733603,0.49993333,NA,0,1
2020,"AK",0,0.95,0,0.8571,0.8571,0.4286,0,0.8571,0.1429,0,0,0,733017,0.24495918,NA,0,1
2021,"AK",0,0.27,0,1,1,0,0,1,0,0,0,0,734420,0,NA,0,1
2015,"AL",0,0.33,0.1875,0.875,0.875,0.375,0.375,0.625,0,0,0,0.0625,4854800,0.46875,NA,0,0
2016,"AL",0,0.39,0.3684,0.6842,1,0.3684,0.2105,0.7895,0,0,0,0.1579,4866820,0.3323795,NA,0,1
2017,"AL",0,0.31,0,0.6667,0.8667,0.2667,0.3333,0.6,0,0.0667,0,0,4877990,0.52446222,NA,0,1
2018,"AL",0,0.2,0.1,0.8,1,0.2,0.3,0.7,0,0,0,0.1,4891630,0.42,NA,0,1
2019,"AL",0,0.2,0.1,0.8,1,0.3,0.6,0.4,0,0,0,0.1,4907970,0.48,NA,0,1
2020,"AL",0,0.28,0.1429,0.8571,1,0.3571,0.2143,0.7143,0,0.0714,0,0.1429,5033090,0.43875306,NA,0,1
2021,"AL",0,0.24,0.25,0.8333,1,0.6667,0.3333,0.5833,0,0.0833,0,0.0833,5049200,0.54173333,NA,0,1
2022,"AL",0,0.08,0,0.5,1,0.75,0,1,0,0,0,0,5076180,0,NA,0,1
2015,"AR",0,0.17,0,0.8,0.8,0,0.2,0.8,0,0,0,0,2979730,0.32,NA,0,0
2016,"AR",0,0.37,0,0.4545,1,0.1818,0.0909,0.9091,0,0,0,0,2991820,0.16527438,NA,0,1
2017,"AR",0,0.27,0.125,0.875,1,0.375,0.375,0.5,0.125,0,0,0,3003860,0.59375,NA,0,1
2018,"AR",0,0.63,0.0526,0.8421,1,0.1579,0.3158,0.6842,0,0,0,0,3012160,0.43214072,NA,0,1
2019,"AR",0,0.5,0.1333,0.6,0.9333,0.4667,0.4,0.6,0,0,0,0.0667,3020990,0.48,NA,0,1
2020,"AR",0,0.3,0,0.5556,0.8889,0.3333,0.4444,0.5556,0,0,0,0,3014550,0.49381728,NA,0,1
2021,"AR",0,0.23,0,0.7143,1,0.5714,0,1,0,0,0,0,3026870,0,NA,0,1
2022,"AR",0,0.03,0,1,1,1,1,0,0,0,0,0,3047700,0,NA,0,1
2015,"AZ",0,0.57,0.0513,0.7436,0.9231,0.2051,0,0.6667,0,0.3077,0.0256,0.0769,6832810,0.46017646,NA,0,0
2016,"AZ",0,0.52,0.2778,0.6389,0.8889,0.2778,0.0556,0.4444,0,0.3333,0.1667,0.1389,6944770,0.6605395,NA,0,1
